index,ROR,re3data,scholia,wikidata,sitemap_url,base_url,base_uri,count,cdf_membership,name,domain,Headless?,space,notes,re3,logo,summary
iris,https://ror.org/05xkn9s74,https://www.re3data.org/repository/r3d100010268,http://mbobak-ofc.ncsa.illinois.edu:8888/topic/Q16074398,https://www.wikidata.org/wiki/Q16074398,http://ds.iris.edu/files/sitemap.xml,http://ds.iris.edu/ds,,28,,IRIS,http://iris.edu,,5f734863e4b01e808c823533,,,http://ds.iris.edu/static/img/layout/logos/iris_logo_shadow.png,"fosters the development of standards, so paleoclimate data are easier to analyze, share, and re-use."
ucar,https://ror.org/04zhhyn23,https://www.re3data.org/repository/r3d100010791,http://mbobak-ofc.ncsa.illinois.edu:8888/topic/Q3366349,https://www.wikidata.org/wiki/Q3366349,https://data.ucar.edu/sitemap.xml,https://data.ucar.edu/dataset,,11672,,UCAR,https://data.ucar.edu,,5f727055e4b01e808c7b0b01,,,https://opensky.ucar.edu/islandora/object/opensky%3Aucommunity/datastream/TN/view,OpenSky is the home for NCAR/UCAR research and historical materials as well as other collections of digital assets. Our mission is to provide free and open access to the scientific output and other intellectual resources created at NCAR/UCAR for the advancement of the atmospheric and related sciences. You can reach us at opensky@ucar.edu with any questions.
opencoredata,n/a,https://www.re3data.org/repository/r3d100012874,http://mbobak-ofc.ncsa.illinois.edu:8888/topic/Q1137602,https://www.wikidata.org/wiki/Q1137602,http://opencoredata.org/sitemap.xml,http://opencoredata.org/id/dataset,,18171,,opencoredata,https://opencoredata.org/,,5f72a8ace4b01e808c7f0dcd,re2 csdco.umn.edu below,,https://opencoredata.org/img/logo22small.png,Open Core Data is an implementation of the RDA Digital Object Cloud. Open Core Data contains digital objects from the contintental and ocena drilling research projects funded by the National Science Foundation.
magic,n/a,http://www.re3data.org/repository/r3d100011910,n/a,,https://www2.earthref.org/MagIC/contributions.sitemap.xml,ttps://earthref.org/MagIC ?_escaped_fragment_=,,4136,active,Magnetics Information Consortium (MagIC),https://www.earthref.org/MagIC,TRUE,5f72ae06e4b01e808c802269,changes will help w/further crawl,http://www.re3data.org/repository/r3d100011910,http://mbobak-ofc.ncsa.illinois.edu/ext/ec/magic/MagIC.png,These objects are described using the structured data on the web patterns promoted by the ESIP Science on Schema work. The object landing pages implement FAIR data practices and expose stuctured data in JSON-LD.
neotomadb,n/a,http://www.re3data.org/repository/r3d100011761,n/a,,http://data.neotomadb.org/sitemap.xml,http://data.neotomadb.org/datasets ?_escaped_fragment_=,,11955,inactive,Neotoma,http://www.neotomadb.org/,TRUE,5f727997e4b01e808c7ca6c4,,http://www.re3data.org/repository/r3d100011761,https://www.neotomadb.org/images/site_graphics/Packrat.png,"Neotoma is a multiproxy paleoecological database that covers the Pliocene-Quaternary, including modern microfossil samples. The database is an international collaborative effort among individuals from 19 institutions, representing multiple constituent databases. There are over 20 data-types within the Neotoma Paleoecological Database, including pollen microfossils, plant macrofossils, vertebrate fauna, diatoms, charcoal, biomarkers, ostracodes, physical sedimentology and water chemistry. Neotoma provides an underlying cyberinfrastructure that enables the development of common software tools for data ingest, discovery, display, analysis, and distribution, while giving domain scientists control over critical taxonomic and other data quality issues. "
earthchem,n/a,https://www.re3data.org/repository/r3d100011538,n/a,,https://ecl.earthchem.org/sitemap.xml,https://ecl.earthchem.org/view.php?id=,,639,,earthchem,https://ecl.earthchem.org/home.php,,5f89c5f8e4b0f4e0c0d9e773,,,http://www.earthchem.org/sites/default/files/files/EC_0-1.png,"Community-driven preservation, discovery, access, and visualization of geochemical, geochronological, and petrological data"
xdomes,n/a,n/a,n/a,,https://xdomes.tamucc.edu/srr/sensorML/sitemap.xml,https://xdomes.tamucc.edu/srr/sensorML,,17,,xdomes,https://xdomes.tamucc.edu/,,5fa30539e4b097cab4a00169,,,https://xdomes.tamucc.edu/images/xdomes_logo.png,"The 'Cross-Domain Observational Metadata for Environmental Sensing (X-DOMES)' is an NSF/EarthCube project tasked to develop prototypes for the application of standards-based description of environmental sensor metadata, including provenance, that is paramount to automated data discovery, access, archival, processing, as well as quality control and assessment."
neon,https://ror.org/04j43p132,http://www.re3data.org/repository/r3d100010290,https://scholia.toolforge.org/topic/Q3336870,https://www.wikidata.org/wiki/Q3336870,https://geodex.org/neon_prodcodes_sm.xml,https://data.neonscience.org/data-products,,179,,National Ecological Observatory Network (NEON),http://www.neonscience.org/,,5f9aefcee4b0511722cd7be7,"Publishing, need to get sitemap",http://www.re3data.org/repository/r3d100010290,https://www.neonscience.org/themes/custom/neon/logo.svg,"The National Ecological Observatory Network (NEON) is a continental-scale observatory designed to gather and provide 30 years of ecological data on the impacts of climate change, land use change and invasive species on natural resources and biodiversity. NEON is a project of the National Science Foundation, with many other U.S. agencies and NGOs cooperating."
decade,,,,,"? no metadata, email sent",,,,,,https://decade.earthchem.org/,,,,,,
RENCI,,,http://mbobak-ofc.ncsa.illinois.edu:8888/organization/Q7312413,https://www.wikidata.org/wiki/Q7312413,don't see data search yet,,,,,,renci.org,,,,,,
C4RSoIS,,,,,https://data.cresis.ku.edu/data/ ?,,,,,,https://data.cresis.ku.edu/,,,,,,
DesignSafe,,,,,https://www.designsafe-ci.org/sitemap.xml  w/in this,,,,,,https://www.designsafe-ci.org/data/browser/public/,,,,,,
resource_registry,,,,,https://object.cloud.sdsc.edu/v1/AUTH_85f46aa78936477d8e71b186269414e8/gleaner-summoned,http://earthcube.org/resource_registry,,274,,Resource Registry,http://www.earthcube.org/resourceregistry/,,5f87c52ee4b0a4d76fb2c3ce,ark not resolvable,,https://www.earthcube.org/sites/default/files/doc-repository/logo_earthcube_full_horizontal.png,"The EarthCube Resource Registry (ECRR) is intended to provide immediate access to a list of EC capabilities to understand what EC is, and what it isn’t. To support this goal, the ECRR project has developed several persistent resources available for wider EarthCube use"
datadiscoverystudio,,,,,http://datadiscoverystudio.org/sitemap/CinergiSiteIndex.xml,http://datadiscoverystudio.org/geoportal/rest/metadata/item,,1600000,,,http://datadiscoverystudio.org/geoportal,,5f7f8bb2e4b0b812d24b0e53,"have from 1st crawls, 85% in",,http://datadiscoverystudio.org/geoportal/images/DataDiscoveryStudioBufferedWhite.png,"Data Discovery Studio indexes over 1.6 million dataset descriptions from 40+ geoscience data repositories and community contributions. Going beyond data search, it adds semantic enhancements to the metadata using text analytics, exports dataset descriptions using standard ISO 19115 and schema.org markup for indexing by commercial search engines, allows users to contribute to and edit the metadata, trace provenance, organize the found datasets into sharable collections, and launch Jupyter notebooks on the found data."
unidata,,https://www.re3data.org/repository/r3d100010355,http://mbobak-ofc.ncsa.illinois.edu:8888/topic/Q3549953,https://www.wikidata.org/wiki/Q3549953,,,,,,UNIDATA,http://www.unidata.ucar.edu/,,,nc-LD gh:Unidata/thredds,https://www.re3data.org/repository/r3d100010355,,"Unidata is a diverse community of education and research institutions with the common goal of sharing geoscience data and the tools to access and visualize that data. For more than 30 years, Unidata has been providing data, software tools, and support to enhance Earth-system education and research."
r2r,n/a,http://www.re3data.org/repository/r3d100010735,n/a,,,https://doi.org/10.7284 https://www.rvdata.us/search/fileset ,,,,Rolling Deck to Repository Program (R2R),https://www.rvdata.us/,,5f7cb710e4b018b1752f2b38,"all diff pages w/same jsonld,generic",http://www.re3data.org/repository/r3d100010735,https://www.rvdata.us/images/Logo.4b1519be.png,The R2R Portal is a central shore-side gateway through which underway data from oceanographic expeditions will be routinely cataloged and securely transmitted to the national long-term archives including the National Geophysical Data Center (NGDC) and National Oceanographic Data Center (NODC).
cchdo,,,,,,,,,,,,,,,,,
,,https://www.re3data.org/repository/r3d100012874,,,,,,,,NSF Facilities for Continental Scientific Drilling & Coring,http://csdco.umn.edu/,,,dfils currently working to get them online,https://www.re3data.org/repository/r3d100012874,,(recent name change and parnership with LacCore)
,,http://www.re3data.org/repository/r3d100010267,,,,,,,,International Ocean Discovery Program,http://www.iodp.org/,,,dfils currently working to get them online,http://www.re3data.org/repository/r3d100010267,,"The International Ocean Discovery Program (IODP) is an international marine research collaboration that explores Earth's history and dynamics using ocean-going research platforms to recover data recorded in seafloor sediments and rocks and to monitor subseafloor environments. IODP depends on facilities funded by three platform providers with financial contributions from five additional partner agencies. Together, these entities represent 26 nations whose scientists are selected to staff IODP research expeditions conducted throughout the world's oceans. IODP expeditions are developed from hypothesis-driven science proposals aligned with the program's science plan Illuminating Earth's Past, Present, and Future. The science plan identifies 14 challenge questions in the four areas of climate change, deep life, planetary dynamics, and geohazards. Until 2013 under the name: International Ocean Drilling Program."
,,http://www.re3data.org/repository/r3d100011663,,,,,,,,National Center for Atmospheric Research,https://ncar.ucar.edu/,,,,http://www.re3data.org/repository/r3d100011663,,"EOL’s platforms and instruments collect large and often unique data sets that must be validated, archived and made available to the research community. The goal of EOL data services is to advance science through delivering high-quality project data and metadata in ways that are as transparent, secure, and easily accessible as possible - today and into the future. By adhering to accepted standards in data formats and data services, EOL provides infrastructure to facilitate discovery and direct access to data and software from state-of-the-art commercial and locally-developed applications. EOL’s data services are committed to the highest standard of data stewardship from collection to validation to archival."
,,,,,,,,,,,,,,,,,
,,missing? included in usgs?,,,,,,,,Core Research Center,https://geology.cr.usgs.gov/crc/,,,,missing? included in usgs?,,"The Core Research Center (CRC) was established in 1974 by the U.S. Geological Survey (USGS) to preserve valuable rock cores for use by scientists and educators from government, industry, and academia. The cylindrical sections of rock are permanently stored and available for examination and testing at the core storage and research facility in Denver, Colorado. The CRC is currently one of the largest and most heavily used public core repositories in the United States. The CRC encourages use of its facility by all interested parties."
,,http://www.re3data.org/repository/r3d100010110,,,,,,,,National Snow and Ice Data Center,https://nsidc.org/,,,,http://www.re3data.org/repository/r3d100010110,,"NSIDC offers hundreds of scientific data sets for research, focusing on the cryosphere and its interactions. Data are from satellites and field observations. All data are free of charge."
,,,,,,,,,,,,,,all also at: https://github.com/MBcode/ec/blob/master/crawl/CDF_Sites.csv,,,
